id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
95384,151840,Ai ga Mie Hajimetara,"Includes the three short stories: Vice, B.B., Kyouto Ren'ai Bojou (京都恋愛慕情).

1. Vice.
Katsuyuki is a vampire detective who is a big fan of beautiful women. One day he saves girl Azusa from nanpa guys and she clings to him temporarily as she has nowhere to go. At the same time Katsuyuki is offered a new case by a hot babe. Even thought the case looks like an easy one, there is something fishy about it...

2. B.B.
Bridal breaker is the profession of Shin. He specializes in ruining other people weddings for money. There is little demand for his specialization and he accumulated quite a debt. Finally a new job shows up and he dives into a whirlwind of complex human relations during the wedding ceremony.

3. Kyoto love affair.
Kyoto, 2052. Kagura is a demon hunter serving in the Department of the Temple government, Demon specialization Section 1. She's in love with a noble Hayato, but his social position is too high for her to have any prospects for him. One day Miyano, one of shrine maidens to goddess Amaterasu, telephones Kagura and offers an opportunity to participate in a divine test with a chance of becoming a goddess as an outcome. Kagura grasps the chance immediately as it's her chance to gain superior social status and confess her feelings to beloved Hayato!",1997-06-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106088,40828,AirCars,NULL,1997-06-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92710,45430,Airs Adventure,NULL,1997-01-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
100084,112563,Akazu no Ma,NULL,1997-05-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109090,19584,Akte Europa,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
64208,2420,Aleshar: The World of Ice,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65700,18481,Alien Phobia,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107126,19998,All-Star Baseball 97,NULL,1997-06-30 00:00:00.000,NULL,NULL,50.0000,1,NULL,NULL
159340,98913,Alpha Storm,"Take on the role of a Shaal - a hyper-intelligent, galactic traveller - pitched into a race against time to save the universe from being blasted to oblivion by an evil race known only as The Dark Beings.",1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114772,1175,Alundra,NULL,1997-04-11 00:00:00.000,9,NULL,NULL,NULL,73.0722,19
13638,2425,Amulets & Armor,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
190013,54,An Elder Scrolls Legend: Battlespire,NULL,1997-11-30 00:00:00.000,3,NULL,NULL,NULL,50.7061,7
15139,198670,Anastasia,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47637,69561,Anastasia: Adventures with Pooka and Bartok,NULL,1997-11-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
61687,45441,AnEarth Fantasy Stories: The First Volume,NULL,1997-04-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93568,123291,Angel Blade: Neo Tokyo Guardians,NULL,1997-07-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6046,2309,Animal,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
193090,78715,Animal Breeder,NULL,1997-09-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56290,78028,Animaniacs Game Pack,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12396,117024,Animation Hangman,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72463,78203,Anime Freak FX Vol. 5,NULL,1997-08-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79644,85725,Anstoß 2,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125829,44731,Arc the Lad: Monster Game with Casino Game,NULL,1997-08-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85604,43924,Arcade's Greatest Hits: The Midway Collection 2,NULL,1997-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
55436,45428,Arcana Strikes,NULL,1997-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33670,102870,Area D,"You are sent to find and rescue a team of missing scientists, who were exploring the Amazon jungle. What you find are deadly dinosaurs and puzzles.",1997-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
8369,2310,Ark of Time,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
123589,13685,Arkanoid Returns,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
157638,42636,Arkanoid: Doh It Again,NULL,1997-01-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5715,129114,Armadillo Racing,NULL,1997-04-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8958,71321,Armed & Delirious,"Armed & Delirious tells a surrealist story about the Crotony family, who torture animals. The family is targeted by the Great Rabbit, one of their escaped captives, who kidnaps them and steals Granny Crotony's cookbook. Granny then seeks to defeat the Great Rabbit, rescue her family and retrieve her cookbook.",1997-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179340,4144,Armored Core,"In the presumably distant future, the vast majority of Earth's population is wiped out by a cataclysmic war known as the Great Destruction. The harsh conditions that result force the few remaining survivors to live underground for fifty years, during which time corporations come to power. The two largest corporations, Chrome and Murakumo Millennium, constantly battle each other for supremacy, causing significant strife among the populace. However, the competition provides endless opportunities for the Ravens, mercenaries who exist independently of the corporations. You, the protagonist, pilot an armored core (AC), which is a giant mecha robot.",1997-07-10 00:00:00.000,6,NULL,NULL,NULL,75.5874,14
9279,19428,Armored Core: Project Phantasma,NULL,1997-12-04 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
124904,14984,Armored Fist 2,NULL,1997-10-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
59741,134339,Arthur's Computer Adventure,NULL,1997-06-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96323,144031,Arthur's Reading Race,NULL,1997-02-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112171,94628,Arubarea no Otome,"The protagonist is chosen as a candidate to become the next Sacred Maiden that helps protect the Albaria Kingdom. 
She must train herself up and serve the country along with five holy knights.",1997-06-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129843,45509,Assault Suit Leynos 2,NULL,1997-03-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128258,47021,Assault Trooper,NULL,1997-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106353,81336,Asuka 120% Excellent Burning Fest.,NULL,1997-05-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105159,46088,Asuka 120% Limited Burning Fest.,NULL,1997-10-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109497,129855,Asuncia: Matsue no Jubaku,NULL,1997-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113626,26439,Atelier Marie: The Alchemist of Salburg,NULL,1997-05-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83348,45947,Atlantis: The Last Resort,NULL,1997-02-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
165540,2209,Atlantis: The Lost Tales,NULL,1997-12-31 00:00:00.000,4,NULL,NULL,NULL,53.8270,11
130671,18153,Atomic Bomberman,NULL,1997-07-31 00:00:00.000,2,NULL,NULL,NULL,73.3360,5
93862,221647,Attack Retrieve Capture,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
